pid,label,subject,place,,order,layout,collection,thumbnail,full,manifest
dea_patches_001,U.S. Justice Department Drug Enforcement Administration,,,,0,dea_simple_item,dea,img/derivatives/simple/dea_patches_001/thumbnail.jpg,img/derivatives/simple/dea_patches_001/fullwidth.jpg,/img/derivatives/iiif/dea_patches_001/manifest.json
dea_patches_002,Special Agent,,,,1,dea_simple_item,dea,img/derivatives/simple/dea_patches_002/thumbnail.jpg,img/derivatives/simple/dea_patches_002/fullwidth.jpg,/img/derivatives/iiif/dea_patches_002/manifest.json
dea_patches_011,Special Agent 1973-2008,,, ,10,dea_simple_item,dea,img/derivatives/simple/dea_patches_011/thumbnail.jpg,img/derivatives/simple/dea_patches_011/fullwidth.jpg,/img/derivatives/iiif/dea_patches_011/manifest.json
dea_patches_012,40th Anniversary,,,,11,dea_simple_item,dea,img/derivatives/simple/dea_patches_012/thumbnail.jpg,img/derivatives/simple/dea_patches_012/fullwidth.jpg,/img/derivatives/iiif/dea_patches_012/manifest.json
dea_patches_013,Red Ribbon Week 25 years - Remembering Special Agent Camarena,Enrique Camarena;Red Ribbon Week;Youth anti-drug programs,,,12,dea_simple_item,dea,img/derivatives/simple/dea_patches_013/thumbnail.jpg,img/derivatives/simple/dea_patches_013/fullwidth.jpg,/img/derivatives/iiif/dea_patches_013/manifest.json
dea_patches_014,Emergency Preparedness,,,,13,dea_simple_item,dea,img/derivatives/simple/dea_patches_014/thumbnail.jpg,img/derivatives/simple/dea_patches_014/fullwidth.jpg,/img/derivatives/iiif/dea_patches_014/manifest.json
dea_patches_015,Financial Investigations Section,,,,14,dea_simple_item,dea,img/derivatives/simple/dea_patches_015/thumbnail.jpg,img/derivatives/simple/dea_patches_015/fullwidth.jpg,/img/derivatives/iiif/dea_patches_015/manifest.json
dea_patches_016,Office of Diversion Control,,,,15,dea_simple_item,dea,img/derivatives/simple/dea_patches_016/thumbnail.jpg,img/derivatives/simple/dea_patches_016/fullwidth.jpg,/img/derivatives/iiif/dea_patches_016/manifest.json
dea_patches_017,Cocaine Intelligence Unit,,,,16,dea_simple_item,dea,img/derivatives/simple/dea_patches_017/thumbnail.jpg,img/derivatives/simple/dea_patches_017/fullwidth.jpg,/img/derivatives/iiif/dea_patches_017/manifest.json
dea_patches_018,Heroin Intelligence Unit,Heroin,,,17,dea_simple_item,dea,img/derivatives/simple/dea_patches_018/thumbnail.jpg,img/derivatives/simple/dea_patches_018/fullwidth.jpg,/img/derivatives/iiif/dea_patches_018/manifest.json
dea_patches_019,Heroin Intelligence Unit,Heroin,,,18,dea_simple_item,dea,img/derivatives/simple/dea_patches_019/thumbnail.jpg,img/derivatives/simple/dea_patches_019/fullwidth.jpg,/img/derivatives/iiif/dea_patches_019/manifest.json
dea_patches_020,Heroin Intelligence Unit,Heroin,,,19,dea_simple_item,dea,img/derivatives/simple/dea_patches_020/thumbnail.jpg,img/derivatives/simple/dea_patches_020/fullwidth.jpg,/img/derivatives/iiif/dea_patches_020/manifest.json
dea_patches_003,Unicorn System - DEA Caribbean Field Division,,Caribbean,,2,dea_simple_item,dea,img/derivatives/simple/dea_patches_003/thumbnail.jpg,img/derivatives/simple/dea_patches_003/fullwidth.jpg,/img/derivatives/iiif/dea_patches_003/manifest.json
dea_patches_021,Mobile Enforcement Team Program,,,,20,dea_simple_item,dea,img/derivatives/simple/dea_patches_021/thumbnail.jpg,img/derivatives/simple/dea_patches_021/fullwidth.jpg,/img/derivatives/iiif/dea_patches_021/manifest.json
dea_patches_022,Mexico / Central America Unit Intelligence Division,,Latin America,,21,dea_simple_item,dea,img/derivatives/simple/dea_patches_022/thumbnail.jpg,img/derivatives/simple/dea_patches_022/fullwidth.jpg,/img/derivatives/iiif/dea_patches_022/manifest.json
dea_patches_023,Europe Asia Africa Intelligence Division,,Europe;Asia;Africa,,22,dea_simple_item,dea,img/derivatives/simple/dea_patches_023/thumbnail.jpg,img/derivatives/simple/dea_patches_023/fullwidth.jpg,/img/derivatives/iiif/dea_patches_023/manifest.json
dea_patches_024,Operation Gear Grinder,Anabolic steroids,,,23,dea_simple_item,dea,img/derivatives/simple/dea_patches_024/thumbnail.jpg,img/derivatives/simple/dea_patches_024/fullwidth.jpg,/img/derivatives/iiif/dea_patches_024/manifest.json
dea_patches_025,Regional Enforcement Team,,,,24,dea_simple_item,dea,img/derivatives/simple/dea_patches_025/thumbnail.jpg,img/derivatives/simple/dea_patches_025/fullwidth.jpg,/img/derivatives/iiif/dea_patches_025/manifest.json
dea_patches_026,Berlin Germany Country Office,,Berlin (Germany),,25,dea_simple_item,dea,img/derivatives/simple/dea_patches_026/thumbnail.jpg,img/derivatives/simple/dea_patches_026/fullwidth.jpg,/img/derivatives/iiif/dea_patches_026/manifest.json
dea_patches_027,Domestic Cannabis Eradication / Suppression Program,Cannabis,,,26,dea_simple_item,dea,img/derivatives/simple/dea_patches_027/thumbnail.jpg,img/derivatives/simple/dea_patches_027/fullwidth.jpg,/img/derivatives/iiif/dea_patches_027/manifest.json
dea_patches_028,Ecstasy & Predatory Drugs - Dancing with Darkness,MDMA; Rave culture,,,27,dea_simple_item,dea,img/derivatives/simple/dea_patches_028/thumbnail.jpg,img/derivatives/simple/dea_patches_028/fullwidth.jpg,/img/derivatives/iiif/dea_patches_028/manifest.json
dea_patches_029,Office of International Operations - Far East Section,,East Asia,,28,dea_simple_item,dea,img/derivatives/simple/dea_patches_029/thumbnail.jpg,img/derivatives/simple/dea_patches_029/fullwidth.jpg,/img/derivatives/iiif/dea_patches_029/manifest.json
dea_patches_030,"F.A.S.T. - Contain, Disrupt, Dismantle",,,,29,dea_simple_item,dea,img/derivatives/simple/dea_patches_030/thumbnail.jpg,img/derivatives/simple/dea_patches_030/fullwidth.jpg,/img/derivatives/iiif/dea_patches_030/manifest.json
dea_patches_004,Clandestine Laboratory Enforcement Team,,,,3,dea_simple_item,dea,img/derivatives/simple/dea_patches_004/thumbnail.jpg,img/derivatives/simple/dea_patches_004/fullwidth.jpg,/img/derivatives/iiif/dea_patches_004/manifest.json
dea_patches_031,Intelligence Program,,,,30,dea_simple_item,dea,img/derivatives/simple/dea_patches_031/thumbnail.jpg,img/derivatives/simple/dea_patches_031/fullwidth.jpg,/img/derivatives/iiif/dea_patches_031/manifest.json
dea_patches_032,Operation Green Air,Cannabis,,,31,dea_simple_item,dea,img/derivatives/simple/dea_patches_032/thumbnail.jpg,img/derivatives/simple/dea_patches_032/fullwidth.jpg,/img/derivatives/iiif/dea_patches_032/manifest.json
dea_patches_033,Financial Operations Section,,,,32,dea_simple_item,dea,img/derivatives/simple/dea_patches_033/thumbnail.jpg,img/derivatives/simple/dea_patches_033/fullwidth.jpg,/img/derivatives/iiif/dea_patches_033/manifest.json
dea_patches_034,Mexico / Central America Unit Domestic Operations,,Latin America,,33,dea_simple_item,dea,img/derivatives/simple/dea_patches_034/thumbnail.jpg,img/derivatives/simple/dea_patches_034/fullwidth.jpg,/img/derivatives/iiif/dea_patches_034/manifest.json
dea_patches_005,Boy Scouts of America Special Agent,Boy Scouts of America;Youth anti-drug programs,,,4,dea_simple_item,dea,img/derivatives/simple/dea_patches_005/thumbnail.jpg,img/derivatives/simple/dea_patches_005/fullwidth.jpg,/img/derivatives/iiif/dea_patches_005/manifest.json
dea_patches_006,2005 National Scout Jamboree,Boy Scouts of America;Youth anti-drug programs,,,5,dea_simple_item,dea,img/derivatives/simple/dea_patches_006/thumbnail.jpg,img/derivatives/simple/dea_patches_006/fullwidth.jpg,/img/derivatives/iiif/dea_patches_006/manifest.json
dea_patches_007,Red Ribbon Week - Aquia District Fall Camporee,Red Ribbon Week;Youth anti-drug programs,,,6,dea_simple_item,dea,img/derivatives/simple/dea_patches_007/thumbnail.jpg,img/derivatives/simple/dea_patches_007/fullwidth.jpg,/img/derivatives/iiif/dea_patches_007/manifest.json
dea_patches_008,Red Ribbon Week - Amangamek-Wipit Lodge 470,Red Ribbon Week;Youth anti-drug programs,,,7,dea_simple_item,dea,img/derivatives/simple/dea_patches_008/thumbnail.jpg,img/derivatives/simple/dea_patches_008/fullwidth.jpg,/img/derivatives/iiif/dea_patches_008/manifest.json
dea_patches_009,Gold insignia on black,,,,8,dea_simple_item,dea,img/derivatives/simple/dea_patches_009/thumbnail.jpg,img/derivatives/simple/dea_patches_009/fullwidth.jpg,/img/derivatives/iiif/dea_patches_009/manifest.json
